niveau,staleness_mean,staleness_median,staleness_p99,staleness_max,successful_reads,total_ops
ONE,4.508248339916463,2.8497175007942133,37.541241699491266,62.339146999875084,50,50
QUORUM,3.790279919921886,3.298898000139161,12.295363549546872,17.03606699993543,50,50
ALL,5.4112168800566,3.8475165001727873,23.31730278041503,27.60861400020076,50,50
