charge,niveau,write_mean,write_p99,read_mean,read_p99,throughput_write,throughput_read,write_errors,read_errors
10,ONE,22.988038399853394,80.89645673924679,16.671653799858177,59.416447258990964,43.50088435585602,59.98205169114697,0,0
10,QUORUM,7.521713200003433,17.997154770055204,7.325930999832053,15.060582549558603,132.94843520483388,136.50142214319587,0,0
10,ALL,7.491051299803075,20.96597661138731,7.173661799970432,10.940149689267855,133.49261138103378,139.3988213946916,0,0
50,ONE,3.866205779995653,10.920542460626148,3.6601390801297384,5.221486110785916,258.6515195787443,273.2136615870219,0,0
50,QUORUM,5.175430439958291,16.26121633040381,4.269874839883414,5.377692309921258,193.2206435003422,234.19890219248308,0,0
50,ALL,4.697180900038802,13.804084390594634,4.391866600017238,5.99366165952233,212.89365286990315,227.69361892642073,0,0
100,ONE,3.4219312699678994,8.944706650090746,3.5366701100247155,5.012279379207037,292.23263739291315,282.75184534896067,0,0
100,QUORUM,5.380564930019318,17.42031119045374,4.240875080031401,6.659305650664466,185.85409023145263,235.8003905157696,0,0
100,ALL,4.651492960038013,30.30355570894247,4.276483760168048,6.912272439749483,214.98473900556604,233.8369688935061,0,0
500,ONE,2.62245659601831,5.248368839111206,3.919780647956941,13.766076979882184,381.3218497184302,255.1163163992908,0,0
500,QUORUM,3.189082843993674,4.677754740132514,9.707106203990406,35.19659785015392,313.56977818353084,103.01731319153787,0,0
500,ALL,11.687460924038344,19.651170369306687,4.411196766194471,21.447408550375318,85.5617833932806,228.52404224051133,4,0
1000,ONE,2.551153366011931,5.378649280755779,3.742855305004923,13.837789610879543,391.97957022993154,267.1757037101611,0,0
1000,QUORUM,3.546678075021191,24.551711979947868,6.145219037975039,24.899781960211836,281.95398027322375,162.7281295947944,0,0
1000,ALL,3.3295929550095025,6.026717039803766,3.8796847500289005,7.514202208712958,300.33701221510006,257.7529011841879,0,0
