niveau,write_mean,write_p99,read_mean,read_p99,write_errors,read_errors,disponibilite
ONE,3.8603661799788824,14.272247790740941,4.674702220036124,11.884385749090136,0,0,100.0
QUORUM,3.7189543998465524,12.220842730475827,3.423490139975911,4.720509129729179,0,0,100.0
ALL,4.235242840040883,12.923615670679265,3.4929367000222555,4.580448840770259,0,0,100.0
