niveau,write_mean,write_median,write_p99,write_max,write_errors,read_mean,read_median,read_p99,read_max,read_errors,throughput_write,throughput_read
ONE,2.930622290004976,2.158919000066817,16.293574879964627,24.91408700007014,0,2.801255890080938,2.7202864994251286,4.848728529541417,7.342689999859431,0,341.22445714364034,356.98273889969636
QUORUM,3.51584553014618,3.238971999962814,6.171014370393173,21.0886679997202,0,3.401670430066588,3.2448054998894804,5.561033679896355,5.734251999456319,0,284.4266027689853,293.9732171468548
ALL,3.7564124300479307,3.284783500021149,8.474583799761689,24.94341199962946,0,3.4188307600015833,3.295975499895576,5.568119130493872,6.150351000542287,0,266.2114500529539,292.49766080832177
